Comment,Designator,Footprint,LCSC
"100nF","C1,C3","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C282732"
"47µF/10V","C2,C4","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C607993"
"1µF","C5,C6","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C46653"
"SK24","D1,D4","Diode_SMD:D_SMB_Handsoldering","C85272"
"LED green","D2,D3","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C84260"
"LED yellow","D5,D6","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2296"
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad",""
"Power","J1","Connector_USB:USB_Micro-B_Molex-105017-0001","C136000"
"Servo","J2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","C92159"
"Sensor","J3","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","C492413"
"Program","J4","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","C492405"
"BSS138","Q1,Q2","Package_TO_SOT_SMD:SOT-23_Handsoldering","C78284"
"AO3400A","Q3","Package_TO_SOT_SMD:SOT-23_Handsoldering","C347475"
"S8050","Q4,Q5","Package_TO_SOT_SMD:SOT-23_Handsoldering","C444723"
"4.7kΩ","R1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17673"
"100Ω","R11","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17408"
"470Ω","R14,R15","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C21266"
"1kΩ","R4,R16,R17","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17513"
"10kΩ","R2,R3,R6,R7,R8,R9,R10,R12,R13","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414 "
"20kΩ","R5","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C4328"
"Off/On","SW1","Button_Switch_THT:SW_CuK_OS102011MA1QN1_SPDT_Angled","C393937"
"Reset","SW2","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","C127509"
"Boot","SW3","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","C127509"
"AMS1117-3.3","U1","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186 "
"ESP32-WROOM-32","U2","RF_Module:ESP32-WROOM-32","C82899"